id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_057	24	24	77.203809699	3.216825404	0	0	24	24	3.163325062	-3.163325062	480	480	1.000000000	24	11	0.458333333	480	127	0.264583333	480	6.501390235	5.587950410	4495	2859	0.636040044
case_058	26	24	52.438836789	2.184951533	0	0	24	24	2.162942823	-2.162942823	480	476	0.991666667	24	14	0.583333333	476	117	0.245798319	476	7.734670939	7.256227622	4421	2984	0.674960416
case_059	25	24	79.050583155	3.293774298	0	0	24	24	3.243657449	-3.243657449	480	480	1.000000000	24	13	0.541666667	480	132	0.275000000	480	6.549635086	5.431591385	4510	2937	0.651219512
case_060	19	24	8.817835494	0.367409812	1	1	24	24	0.324217461	-0.278565343	480	480	1.000000000	24	22	0.916666667	480	208	0.433333333	480	5.615752245	5.064108440	4494	3017	0.671339564
case_061	19	24	26.783123687	1.115963487	1	9	24	24	1.133473056	-1.068720545	480	480	1.000000000	24	18	0.750000000	480	200	0.416666667	480	7.209041705	6.833788035	4502	3064	0.680586406
case_062	16	24	29.960731685	1.248363820	0	0	24	24	1.227757207	-1.227757207	480	478	0.995833333	24	14	0.583333333	478	192	0.401673640	478	7.781870261	7.539736818	4457	3025	0.678707651
case_063	17	24	22.775380397	0.948974183	1	1	24	24	0.894737165	-0.894571146	480	480	1.000000000	24	16	0.666666667	480	207	0.431250000	480	6.990301865	6.823199059	4509	3133	0.694832557
case_064	15	24	37.593115085	1.566379795	0	0	24	24	1.473075797	-1.473075797	480	480	1.000000000	24	13	0.541666667	480	197	0.410416667	480	5.628230849	4.864138551	4493	3055	0.679946584
case_065	16	24	35.681923497	1.486746812	1	1	24	24	1.453486281	-1.447629722	480	479	0.997916667	24	14	0.583333333	479	172	0.359081420	479	7.150295258	6.803681399	4473	2966	0.663089649
case_066	18	24	66.507606512	2.771150271	1	4	24	24	2.646876241	-2.645683370	480	480	1.000000000	24	10	0.416666667	480	168	0.350000000	480	6.860754146	5.444636869	4495	2931	0.652057842
case_067	18	24	64.351045866	2.681293578	0	0	24	24	2.567797746	-2.567797746	480	480	1.000000000	24	10	0.416666667	480	189	0.393750000	480	5.992741117	5.297361391	4492	2963	0.659617097
case_068	21	24	33.904562666	1.412690111	0	0	24	24	1.352986764	-1.352986764	480	478	0.995833333	24	17	0.708333333	478	194	0.405857741	478	5.554805408	4.979101055	4451	3035	0.681869243
